Toyota RAV 4/$11500  975157сом/"https://im.mashina.kg/tachka/images//8/2/e/82e4c21d02ab0305e7db7700dec5f01c_240x180.jpg"/2006г.,2.4л.,автоматвнедорожник5дв.,бензинрульслева,180000кмБишкек14ч.назад
Lexus GX/$21000  1780722сом/"https://im.mashina.kg/tachka/images//e/1/d/e1d4ce301b429abccc00eb97e38d0f97_240x180.jpg"/2005г.,4.7л.,автоматвнедорожник5дв.,бензинрульслева,242889кмБишкек14ч.назад
Toyota Ipsum/$9000  763167сом/"https://im.mashina.kg/tachka/images//7/0/d/70dc897f52d081ee1576d5f14c882223_240x180.jpg"/2004г.,2.4л.,автоматминивэн,бензинрульсправаБишкек3ч.назад
Mercedes-Benz E-класс/$12000  1017556сом/"https://im.mashina.kg/tachka/images//0/b/0/0b06d9dc748eb5fa7aa02d1a054b8b75_240x180.jpg"/2010г.,2.1л.,автоматуниверсал,дизельрульслева,138599кмБишкек10ч.назад
Toyota Ipsum/$9400  797085сом/"https://im.mashina.kg/tachka/images//0/8/6/086921ccf352c629176330864d044b21_240x180.jpg"/2003г.,2.4л.,автоматминивэн,бензинрульсправа,163000кмБишкек16ч.назад
Volkswagen Transporter/$7900  669891сом/"https://im.mashina.kg/tachka/images//d/b/2/db2c7498072035271e90ee0fb11e910a_240x180.jpg"/2002г.,2.5л.,механикаминивэн,дизельрульслева,433055кмБишкек17ч.назад
Toyota Prius/$25500  2162306сом/"https://im.mashina.kg/tachka/images//8/4/f/84f2072c2d7af3e92ed1ee924a23d743_240x180.jpg"/2018г.,1.8л.,автоматхэтчбек5дв.,гибридрульслева,150000кмБишкек20ч.назад
Nissan Primera/$3302  280000сом/Image not found :(/2003г.,1.8л.,механикаседан,бензинрульслеваБаткен3сек.назад
Lexus RX/$25500  2162306сом/"https://im.mashina.kg/tachka/images//0/a/f/0af204a20b7d2cc018fe22282ff2fc95_240x180.jpg"/2015г.,3.5л.,автоматвнедорожник5дв.,бензинрульслева,85500кмБишкек52сек.назад
Nissan Almera Tino/$5500  466380сом/"https://im.mashina.kg/tachka/images//b/4/9/b4960ae155643b6035f75ddcd679026f_240x180.jpg"/2003г.,1.8л.,механикаминивэн,бензинрульслеваБишкек2мин.назад
Lexus RX/$17000  1441537сом/"https://im.mashina.kg/tachka/images//f/3/d/f3d8ea792078cba0adc4373d6184305a_240x180.jpg"/2007г.,3.5л.,автоматвнедорожник5дв.,бензинрульслева,150000кмБишкек2мин.назад
Daewoo Tico/$1179  100000сом/"https://im.mashina.kg/tachka/images//d/d/b/ddb55f014907da54c80e2c6df4553c28_240x180.jpg"/1996г.,0.8л.,механикахэтчбек5дв.,бензинрульслеваКочкор-Ата2мин.назад
Mercedes-Benz S-класс/$15000  1271945сом/"https://im.mashina.kg/tachka/images//0/a/3/0a355144a540ac5040f86901a4e02377_240x180.jpg"/2008г.,4.7л.,автоматседан,бензинрульслева,225000кмМайлуу-Суу2мин.назад
